Clave,Nombre de la estación,Latitud,Longitud,Altitud,Estado,Municipio,R.H.,Cuenca
CANCA,"Canasayab, Camp.",19.295000000000002,-90.575556000000006,17,Campeche,Champotón,31,Grijalva - Usumacinta
CNDCA,"Candelaria, Camp.",18.183056000000001,-91.046110999999996,50,Campeche,Candelaria,30,Grijalva - Usumacinta
ACACP,"Acala, Chis.",16.552778,-92.804167000000007,393,Chiapas,Acala,30,Alto Grijalva
AQECP,"Aquespala, Chis.",15.783333000000001,-91.911111000000005,675,Chiapas,La Trinitaria,30,Alto Grijalva
BOQCP,"Boquerón, Chis.",16.641943999999999,-93.150000000000006,480,Chiapas,Suchiapa,30,Alto Grijalva
CACCP,"Cacaluta, Chis.",15.35,-92.716667000000001,20,Chiapas,Acacoyagua,23,Costa de Chiapas
CASCP,"Cascajal, Chis.",16.308333000000001,-92.479167000000004,650,Chiapas,Venustiano Carranza,30,Alto Grijalva
CHMCP,"Chicomuselo, Chis.",15.75,-92.283332999999999,710,Chiapas,Chicomuselo,30,Alto Grijalva
DESCP,"Despoblado, Chis.",15.204167,-92.575000000000003,115,Chiapas,Villa Comaltitlán,23,Costa de Chiapas
ELNCP,"El Novillero, Chis.",15.495832999999999,-92.950000000000003,98,Chiapas,Mapastepec,23,Costa de Chiapas
ESCCP,"Escuintla, Chis.",15.316667000000001,-92.666667000000004,110,Chiapas,Escuintla,23,Costa de Chiapas
GRICP,"Grijalva, Chis.",16.975000000000001,-93.125,211,Chiapas,Chicoasén,30,Alto Grijalva
HUICP,"Huixtla, Chis.",15.133333,-92.472222000000002,40,Chiapas,Huixtla,23,Costa de Chiapas
JESCP,"Jesús, Chis.",15.875,-93.474999999999994,90,Chiapas,Tonalá,23,Costa de Chiapas
LACCP,"Lacantún, Chis.",16.580832999999998,-90.702222000000006,905,Chiapas,Ocosingo,30,Usumacinta
LESCP,"La Escalera, Chis.",16.490278,-93.025000000000006,485,Chiapas,Chiapa de Corzo,30,Alto Grijalva
MAPCP,"Mapastepec, Chis.",15.449999999999999,-92.883332999999993,32,Chiapas,Mapastepec,23,Costa de Chiapas
