COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 24/04/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: APRIL DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 13135 
 NOMBRE    : ATLAPEXCO 
 ESTADO    : HIDALGO 
 MUNICIPIO : ATLAPEXCO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 21.01944444 ° 
 LONGITUD  : -98.34805556 ° 
 ALTITUD   : 168 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1981-06-30	NULO	NULO	NULO	NULO
1981-07-01	0.4	1.95	29.5	23
1981-07-02	0	4.75	33.5	23
1981-07-03	0	4.5	34	23
1981-07-04	0	3.18	33	23
1981-07-05	0	3.65	33	22.5
1981-07-06	30.5	6.45	34	24
1981-07-07	0.01	1.85	30.5	23
1981-07-08	14	2.9	30.5	23
1981-07-09	5.5	0.95	30	22.5
1981-07-10	11.4	3.65	29.5	22
1981-07-11	1.5	1.85	30	21.5
1981-07-12	0.01	3.5	32	21
1981-07-13	9	3.2	32.5	22
1981-07-14	17.8	1.1	28.5	22
1981-07-15	0.4	2.3	31	22
1981-07-16	0	1.4	30	21.5
1981-07-17	0.5	4.2	33.5	22
1981-07-18	0	5.65	34	24
1981-07-19	0	3.45	34	22.5
1981-07-20	0	3.6	34	23
1981-07-21	0	2.25	33.5	22
1981-07-22	0	5.5	34.5	22
1981-07-23	0	3.66	34.5	23
1981-07-24	0	4.21	33	22.5
1981-07-25	0	4.59	34	22.5
1981-07-26	0	4.09	34.5	22
1981-07-27	0.01	2.09	32	23
1981-07-28	20	3.3	30.5	22.5
1981-07-29	0	6.51	33.5	23.5
1981-07-30	0	4.84	34.5	22
