COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 13137 
 NOMBRE    : TEHUETLAN 
 ESTADO    : HIDALGO 
 MUNICIPIO : HUEJUTLA DE REYES 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 21.07027778 ° 
 LONGITUD  : -98.49 ° 
 ALTITUD   : 285 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1981-06-03	NULO	NULO	NULO	NULO
1981-06-04	0	5.17	31	24.5
1981-06-05	3.3	4.32	31	20
1981-06-06	0	2.94	28	21.5
1981-06-07	0	2.83	29.5	21
1981-06-08	0	1.55	29.5	21
1981-06-09	0	4.62	31	25
1981-06-10	36	4.03	27.5	22
1981-06-11	3	3.93	30	20.5
1981-06-12	0	2.45	29.5	20.5
1981-06-13	0	2.51	28	21
1981-06-14	17	1.95	30.5	21
1981-06-15	76	2.16	27	20
1981-06-16	91	2.01	26	20
1981-06-17	152	9.15	25.5	20
1981-06-18	127.6	0.71	23	20.5
1981-06-19	14.5	1.5	26	18.5
1981-06-20	2.7	0.98	26	20
1981-06-21	0	1.42	26	21
1981-06-22	0.01	2.1	27	22.5
1981-06-23	4	3.03	27.5	21
1981-06-24	42	3.87	28	19.5
1981-06-25	60	1.84	23	20
1981-06-26	21.5	4.23	27	20
1981-06-27	1	1.47	28.5	19
1981-06-28	3	3.68	27	19
1981-06-29	27.8	2.88	26	19
1981-06-30	70	1.58	NULO	NULO
1981-07-01	10	9.1	27	20
1981-07-02	0	2.74	28	19
1981-07-03	0	4.45	29	19
1981-07-04	0.01	3.15	29.5	20
1981-07-05	82	4.01	30	19.5
1981-07-06	13.5	4.68	30	21
1981-07-07	27	1.44	27.5	19
1981-07-08	20	2.96	27.5	19.5
1981-07-09	42	3.01	26	18.5
1981-07-10	10.3	1.32	26	19
1981-07-11	11	3.65	28	19
1981-07-12	35.5	3.68	27.5	20.5
1981-07-13	36	4.23	28	19
1981-07-14	8.5	1.06	25.5	19
1981-07-15	0.01	3.95	27	19
1981-07-16	0.01	3.19	26	18
1981-07-17	0	3.48	27	19.5
1981-07-18	0	4.13	27	21
1981-07-19	5	5.45	29	20
1981-07-20	2	4.87	28.5	20
1981-07-21	0	2.29	28	20
1981-07-22	0	5.17	29	20
1981-07-23	0	3.3	28	20
1981-07-24	0	3.79	27	19
1981-07-25	0	4.05	28	20
1981-07-26	17	4.88	28.5	20
1981-07-27	45	2.03	27	20
1981-07-28	10	3.68	28	19
1981-07-29	8	3.5	28	20
