COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 30261 
 NOMBRE    : E.T.A. 175 TLACOLULA 
 ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE 
 MUNICIPIO : CHICONTEPEC 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 20.91666667 ° 
 LONGITUD  : -98.16666667 ° 
 ALTITUD   : 640 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1973-10-26	0	NULO	NULO	NULO
1973-10-27	0	3.4	29.3	17
1973-10-28	0	4.2	29.5	19
1973-10-29	0	2.7	26.5	15
1973-10-30	0	1.9	27.5	15
1973-10-31	0	6.9	21	10.5
1973-11-01	0	1.9	26	13
1973-11-02	0	1.3	28	15
1973-11-03	0	1.4	24	17
1973-11-04	0	1.9	21	18
1973-11-05	0	2.9	24	15
1973-11-06	0	4.6	29	17
1973-11-07	0	4.7	28	16
1973-11-08	0	3.2	28	18
1973-11-09	0	3.4	28	17
1973-11-10	0	3.3	27	16
1973-11-11	0	2.4	20	18
1973-11-12	6	1.4	22	17
1973-11-13	0	2.5	25	14
1973-11-14	0	2.3	23	13
1973-11-15	0	3.5	29	16
1973-11-16	0	3.6	26	16
1973-11-17	0	3.2	27	14
1973-11-18	0	3.8	27	15
1973-11-19	0	2.1	28	18
1973-11-20	0	5.6	30	12
1973-11-21	0	1.5	27	17
1973-11-22	0	2.7	28	16
1973-11-23	0	2.5	28	18
1973-11-24	0	3.9	30	19
1973-11-25	0	1.9	28	19
1973-11-26	0	2.1	31	19
1973-11-27	0	6.3	33	15
1973-11-28	0	4.3	21	16
1973-11-29	0	3.8	20	8
1973-11-30	0	1.9	15	9
1973-12-01	0	1	25	10
1973-12-02	0	0.7	21	13
1973-12-03	0	2.9	25	11
1973-12-04	0	3.7	21	14.5
1973-12-05	4	0.6	24	13
1973-12-06	0	5.6	21.5	11
1973-12-07	4.5	2.8	19	9.5
1973-12-08	0	1.7	16	11
1973-12-09	3.5	1.8	19	9.5
1973-12-10	5.4	6	24	13
1973-12-11	0	3.3	26.5	13
1973-12-12	3	6.8	21	8
1973-12-13	4	6.1	23.5	8
1973-12-14	0	1.7	26	10
1973-12-15	0	4.8	26	10
1973-12-16	0	2.1	18	10
1973-12-17	0	4.3	20	2
1973-12-18	0	2.3	23	6
1973-12-19	0	5.1	27	7.5
1973-12-20	0	2	15	6
1973-12-21	0	2.9	16	4
1973-12-22	0	1.8	20	3
1973-12-23	0	1.5	24	6
1973-12-24	0	2.2	28	7
1973-12-25	0	0.8	18	10
1973-12-26	0	2.7	21	12
1973-12-27	6	1.3	16	13
1973-12-28	0	1.2	24	14
1973-12-29	0	1.3	26	14
1973-12-30	0	3	27	15
1973-12-31	0	3.7	29	13
1974-01-01	3	4.5	15	14
