COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 30365 
 NOMBRE    : ZACUALPAN 
 ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE 
 MUNICIPIO : ZACUALPAN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 20.43055556 ° 
 LONGITUD  : -98.35277778 ° 
 ALTITUD   : 1625 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1982-06-17	0	NULO	NULO	NULO
1982-06-18	0	NULO	24	10
1982-06-19	0.01	NULO	24	10
1982-06-20	0	NULO	25	10
1982-06-21	0	NULO	25	10
1982-06-22	3.5	NULO	24	10
1982-06-23	2.2	NULO	24	13
1982-06-24	0.01	NULO	24	13
1982-06-25	0	NULO	24.5	12
1982-06-26	1	NULO	25	13
1982-06-27	1.1	NULO	24	13
1982-06-28	0	NULO	21.5	12.5
1982-06-29	17	NULO	22	13.5
1982-06-30	5	NULO	22	13.5
1982-07-01	0.9	NULO	22	14
1982-07-02	0.8	NULO	21.5	13.5
1982-07-03	0	NULO	21	13
1982-07-04	0.6	NULO	24	13.5
1982-07-05	0	NULO	22.5	12
1982-07-06	0	NULO	22	12.5
1982-07-07	0	NULO	21.5	11.5
1982-07-08	0	NULO	21.5	11
1982-07-09	0	NULO	23	12.5
1982-07-10	6.5	NULO	22	12
1982-07-11	7.8	NULO	21	12
1982-07-12	3.5	NULO	22	11
1982-07-13	16.5	NULO	22.5	13
1982-07-14	0.3	NULO	21	12
1982-07-15	2.5	NULO	21	13
1982-07-16	1.2	NULO	21	13
1982-07-17	0.4	NULO	20	13
1982-07-18	2	NULO	19.5	13
1982-07-19	0	NULO	21	11.5
1982-07-20	0	NULO	21.5	11.5
1982-07-21	1.1	NULO	22	11.5
1982-07-22	10.5	NULO	21	11
1982-07-23	1.3	NULO	19.5	11
1982-07-24	20.5	NULO	21	12
1982-07-25	1.1	NULO	20	12.5
1982-07-26	3.5	NULO	19	13
1982-07-27	0	NULO	20.5	11
1982-07-28	0	NULO	22	10
1982-07-29	0	NULO	22.5	11
1982-07-30	3.5	NULO	21	13
1982-07-31	0.3	NULO	22	12
1982-08-01	0	NULO	21.5	11.5
1982-08-02	0	NULO	21.5	12.5
1982-08-03	0	NULO	23	15
1982-08-04	0	NULO	21	12
1982-08-05	0	NULO	21.5	11
1982-08-06	0	NULO	21	10
1982-08-07	0	NULO	22.5	11
1982-08-08	0	NULO	23	12
1982-08-09	1.5	NULO	21	13
1982-08-10	0	NULO	23	12
1982-08-11	3.5	NULO	22	13
1982-08-12	20.5	NULO	20	11
1982-08-13	0	NULO	20.5	11
1982-08-14	0	NULO	22	11
1982-08-15	0	NULO	23	12.5
1982-08-16	0	NULO	23	12.5
1982-08-17	0	NULO	23	12
1982-08-18	20.5	NULO	21.5	12
1982-08-19	6.5	NULO	19	12
1982-08-20	11	NULO	21	11
1982-08-21	20.5	NULO	18.5	14
1982-08-22	13.4	NULO	19.5	15
1982-08-23	0	NULO	20	9.5
1982-08-24	0	NULO	21	11
1982-08-25	0	NULO	22	13
1982-08-26	0	NULO	23.5	13.5
1982-08-27	0	NULO	22.5	12.5
1982-08-28	7	NULO	20	11.5
1982-08-29	4	NULO	21	12
1982-08-30	17.5	NULO	19	10
1982-08-31	0	NULO	20	12
1982-09-01	0	NULO	22	12.5
1982-09-02	0	NULO	23	12
1982-09-03	0	NULO	24	11
1982-09-04	15.5	NULO	23	14.5
1982-09-05	0	NULO	24	11.5
