COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 30381 
 NOMBRE    : ZILACATIPAN 
 ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE 
 MUNICIPIO : HUAYACOCOTLA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 20.65583333 ° 
 LONGITUD  : -98.34805556 ° 
 ALTITUD   : 971 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1983-05-18	0.1	NULO	NULO	NULO
1983-05-19	0	NULO	27	17
1983-05-20	0	NULO	30.5	18
1983-05-21	1.3	NULO	32	15.5
1983-05-22	0	NULO	21	13
1983-05-23	0	NULO	24	15.5
1983-05-24	0	NULO	26	14.5
1983-05-25	32.2	NULO	20	13.5
1983-05-26	25	NULO	18.5	13
1983-05-27	7.4	NULO	15.3	12
1983-05-28	8.5	NULO	20.3	13.5
1983-05-29	2	NULO	18.5	13.5
1983-05-30	0	NULO	19	14.5
1983-05-31	0	NULO	25.5	13.5
1983-06-01	1.3	NULO	22.5	16
1983-06-02	0	NULO	22	15
1983-06-03	0	NULO	22.5	15.5
1983-06-04	0	NULO	23.5	15.5
1983-06-05	0	NULO	22	15.5
1983-06-06	39.4	NULO	27	16
1983-06-07	8.5	NULO	18	15
1983-06-08	2.2	NULO	17	14.5
1983-06-09	0	NULO	29.5	14
1983-06-10	0	NULO	21.5	12
1983-06-11	0	NULO	22	11.5
1983-06-12	0	NULO	24	12
1983-06-13	0	NULO	24	14
1983-06-14	1	NULO	23	13.5
1983-06-15	0.1	NULO	23	16.5
1983-06-16	0	NULO	22	12.5
1983-06-17	5.2	NULO	22.5	14
1983-06-18	0	NULO	22	14.5
1983-06-19	0	NULO	25	15
1983-06-20	12	NULO	22	16
1983-06-21	0	NULO	22.5	14
1983-06-22	8	NULO	22	14
1983-06-23	1.3	NULO	23	14
1983-06-24	53.4	NULO	22	15.5
1983-06-25	0	NULO	23	15
1983-06-26	0	NULO	26	15.5
1983-06-27	0	NULO	27.5	16
1983-06-28	0	NULO	25.5	16.5
1983-06-29	1.3	NULO	22.5	16.5
1983-06-30	1.3	NULO	21	15
1983-07-01	2	NULO	22	15
1983-07-02	25	NULO	23	15.5
1983-07-03	23.5	NULO	22	14
1983-07-04	54.5	NULO	19	14
1983-07-05	81	NULO	22	14
1983-07-06	48.5	NULO	19.5	13
1983-07-07	20.8	NULO	19	13.5
1983-07-08	21	NULO	19	13
1983-07-09	22.2	NULO	18.5	12
1983-07-10	15.4	NULO	18	11
1983-07-11	10.5	NULO	18	12.5
1983-07-12	42.5	NULO	19	13
1983-07-13	41	NULO	18	12
1983-07-14	4.5	NULO	19	13
1983-07-15	0.4	NULO	21.5	13
1983-07-16	60.9	NULO	18	14
1983-07-17	80.3	NULO	19	12
1983-07-18	100.3	NULO	18	13
1983-07-19	100.3	NULO	16	12
1983-07-20	46.5	NULO	16	13
1983-07-21	40.5	NULO	18.5	12
1983-07-22	36.5	NULO	16.5	13
1983-07-23	10.5	NULO	15.5	13
1983-07-24	22.5	NULO	16	12
1983-07-25	12.5	NULO	19	13
1983-07-26	16	NULO	20.5	13
1983-07-27	10.5	NULO	19	12
1983-07-28	12	NULO	18.5	13
1983-07-29	16.5	NULO	19	12
1983-07-30	24.5	NULO	20	12.5
1983-07-31	3.5	NULO	20	10.5
1983-08-01	0	NULO	20	10.5
1983-08-02	0	NULO	21	13
