year,1,2,3,4,5,6,7,8,9,10,11,12,anual
1961,47388672.0,27995328.0,10885536.0,5990112.0,4736448.0,174594528.0,253425888.0,243928800.0,146862720.0,162159840.0,105683616.0,27559872.0,1211211360.0
1962,15120000.0,9171360.0,7546176.0,57252096.0,27964224.0,77042016.0,128022336.0,22635072.0,170153568.0,51587712.0,29475360.0,32213376.0,628183296.0
1963,17183232.0,8779968.0,6429888.0,3664224.0,5025024.0,29147040.0,304662816.0,126214848.0,79894944.0,40810176.0,29339712.0,17665344.0,668817216.0
1964,14861664.0,8076672.0,5829408.0,14066784.0,6939648.0,32777568.0,39030336.0,7976448.0,30625344.0,49571136.0,38693376.0,75688992.0,324137376.0
1965,27939168.0,8748864.0,7025184.0,19804608.0,24167808.0,48466080.0,146718432.0,332773920.0,119118816.0,82547424.0,35038656.0,12763008.0,865111968.0
1966,9342432.0,10384416.0,8526816.0,8894880.0,26527392.0,266734080.0,104271840.0,103387104.0,171796896.0,229220064.0,60428160.0,20504448.0,1020018528.0
1967,15583968.0,11356416.0,15278976.0,7238592.0,10794816.0,23920704.0,20814624.0,161947296.0,545153760.0,161334720.0,69937344.0,23777280.0,1067138496.0
1968,18056736.0,14183424.0,14719968.0,16115328.0,46967040.0,75400416.0,167673024.0,124187904.0,253427616.0,151586208.0,45019584.0,58297536.0,985634784.0
1969,35032608.0,31898880.0,26210304.0,18811872.0,34065792.0,7822656.0,89879328.0,197576064.0,664532640.0,138091392.0,55836000.0,36408096.0,1336165632.0
1970,16516224.0,14052096.0,12422592.0,6734880.0,5079456.0,192532896.00000003,148401504.0,106087104.0,307785312.0,98149536.0,24366528.0,12102048.0,944230176.0
1971,9348480.0,6926688.0,6792768.0,36570528.0,7941024.0,45463680.0,66863232.0,139050432.0,175793760.0,423010944.0,123088896.0,31452192.0,1072302624.0
1972,20797344.0,14792544.0,16626816.0,6994944.0,8633952.0,163985472.0,248638464.0,176912640.0,101667744.0,95672448.0,41720832.0,18916416.0,915359616.0
1973,11106720.0,6762528.0,8544960.0,3602016.0,25772256.0,210231936.0,176808960.0,399842784.0,147864096.0,184484736.0,32190912.0,36257760.0,1243469664.0
1974,40804992.0,11390112.0,9041760.0,11714112.0,13842144.0,154342368.0,306927360.0,60386688.0,582938208.0,151086816.0,52101792.0,34303392.0,1428879744.0
1975,21371040.0,16340832.0,8463744.0,4306176.0,8506080.0,20564064.0,112038336.0,267558336.0,769474944.0,154348416.0,40401504.0,23494752.0,1446868224.0
